ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Children,Total_spending,Customer_since,AcceptedAny,AgeGroup,Cluster,PCA1,PCA2
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,0,1617,4735,0,60+,3,1.1163496573809286,-0.46388921876264144
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,2,27,4185,0,60+,4,-1.3262581596728336,0.13850704496638774
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,0,776,4384,0,60+,5,1.8848838805818438,-1.0532378861179361
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,1,53,4211,0,40-49,4,-1.7930379553981792,-0.495944013808964
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,1,422,4233,0,40-49,3,0.013986197323994249,1.325090247839645
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,1,716,4365,0,50-59,5,1.0619993970867212,-1.3969168924467754
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,1,590,4665,0,50-59,5,0.4753603205794803,-0.9290443788799294
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,1,169,4489,0,40-49,4,-1.6201373163492103,-0.8348168037008381
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,1,46,4460,0,50-59,4,-2.2222805116837647,-1.2350213323492296
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,2,49,4180,1,60+,0,-4.607999130489298,-1.1863391986493759
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,0,61,4665,0,40-49,0,-2.4867986936147424,0.13953712457009854
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,0,1102,4298,0,60+,2,1.4427774617795204,1.5405855791613738
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,2,310,4298,0,60+,3,0.13467102854552745,-0.2387199393043702
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,0,46,4699,0,30-39,4,-2.5952030159277872,-0.28847590157254027
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,0,1315,4654,1,60+,2,3.1055248725907845,-0.9503194733038854
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,2,96,4624,0,40-49,0,-1.732877593793137,-0.1065631283508604
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,0,317,4739,0,60+,3,-0.47051289705302984,-1.2159346518449572
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,1,1782,4530,1,60+,5,3.156909421179885,0.3319218587087589
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,1,133,4675,0,40-49,0,-1.73286056884062,1.3398961331897932
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,0,316,4762,0,40-49,4,-1.2418706450171824,-0.5893045357606334
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,1,1730,4611,0,40-49,4,-0.8468594688847165,0.9318250667148831
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,1,972,4625,1,60+,3,0.46498270739814157,0.18542782074722491
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,1,544,4241,0,60+,2,1.2940354275750705,-1.6018992618334105
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,1,444,4540,0,60+,3,-0.2600926688855507,-0.23752751541909134
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,0,75,4615,0,50-59,0,-2.014520530428777,1.186038429113223
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,2,257,4470,0,40-49,4,-0.7776323534998648,-1.6253538099501554
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,1,131,4466,0,30-39,4,-1.1108214739859297,-0.01823578976275157
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,0,1672,4291,1,60+,1,2.945489316726265,1.6084210415586253
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,0,30,4110,0,30-39,4,-2.028358927022298,-0.2550542610642061
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,0,318,4486,0,60+,0,-0.7510971654910896,0.8096823246881668
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,1,120,4699,1,50-59,4,-1.140170687717259,-0.20957945150797733
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,2,302,4680,0,60+,3,-0.24390234759843216,-1.3836676509179746
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,0,1196,4566,0,60+,2,1.1509733898617154,-1.540554217653494
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,2,65,4376,0,60+,0,-1.2221291429850873,0.20920677400430024
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,1,913,4252,0,50-59,1,2.059527922614507,-0.09741316751130055
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,1,81,4372,0,40-49,0,-2.0199367515858935,0.7318835119486183
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,1,67,4210,0,50-59,0,-1.4476615208729526,1.985079709460475
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,0,902,4585,1,60+,3,0.6866734531118579,-0.43580336601999814
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,1,1395,4498,0,40-49,5,1.6353259910930333,-1.5523945917332869
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,1,53,4546,0,40-49,0,-2.355888206240001,1.0753500932598232
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,1,22,4624,0,60+,4,-1.8230737247230735,-0.8344939251673055
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,1,31,4342,0,50-59,4,-2.0496831857150637,-0.6310502571679241
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,0,984,4073,0,40-49,1,1.606014341064312,1.602541393790911
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,0,122,4669,0,18-29,4,-2.7234889651694956,-1.1068440973562885
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,1,55,4473,0,50-59,0,-2.189571126511627,0.943444094126162
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,2,1319,4670,0,60+,5,1.784265004806336,-0.9274973178242927
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,1,507,4120,0,60+,2,1.422882627705054,-0.20792631494221445
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,0,1693,4759,0,60+,2,3.130780743559728,-1.4227686103045478
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,1,72,4615,0,40-49,0,-1.806708186195416,0.22454940714702168
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,0,1617,4094,1,40-49,1,2.1449561580238052,0.8598914804487385
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,2,606,4454,0,40-49,1,1.10692018738196,0.5580840825982497
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,0,1957,4659,1,60+,2,3.4536589323971745,0.8051576120028634
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,0,1093,4525,0,50-59,2,1.8705115818382358,-0.4077064259779271
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,1,29,4134,0,30-39,4,-1.5111059401943407,0.22460057770394298
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,1,518,4190,0,50-59,3,0.30080242062394263,-0.3217021479075073
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,0,1438,4432,1,40-49,1,2.2407789795073496,-0.35616016835147873
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,2,612,4732,0,50-59,1,1.4366321983625716,-0.6586755957287949
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,1,884,4568,0,60+,5,1.4985314347472272,-1.5533712893829397
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,1,606,4455,0,60+,5,1.2647551311157679,-1.6148504966731676
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,0,1076,4277,0,60+,2,1.3315212225205832,-0.7611410496104513
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,1,34,4476,0,50-59,0,-2.2234388209837452,0.9505138979686532
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,2,11,4121,0,50-59,4,-2.085551004016596,-1.2762623484494549
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,1,1274,4174,1,40-49,5,2.6786798893689316,-1.6953350242362382
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,1,653,4347,0,60+,2,1.4194512238173163,-1.351434747959407
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,3,1562,4519,0,50-59,1,0.8819294767428161,1.6230783725926419
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,0,1253,4728,0,60+,2,1.373426332889885,-1.1038952879638015
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,1,863,4541,0,60+,5,2.155075230225082,-1.756783146173535
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,2,661,4522,1,50-59,3,0.850647216152314,0.2858463906162782
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,0,65,4132,0,60+,0,-0.7159443548734935,0.9202339814198466
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,1,13,4629,0,40-49,0,-1.8938562504063026,0.9497022016129845
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,0,1890,4743,0,50-59,5,1.7883106912585687,-0.6866605978903672
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,0,2209,4697,1,40-49,1,2.489566084821526,-0.18553340514873093
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,0,18,4370,0,40-49,4,-1.6802100166296414,-0.23512938664534824
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,0,692,4615,1,60+,5,0.876349299698006,-2.3874176273968932
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,1,165,4741,0,40-49,0,-1.8102452874779993,0.9216874739261993
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,1,16,4443,0,50-59,4,-2.2215986922500424,-1.140002794863512
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,1,79,4433,0,50-59,0,-1.8370219691172203,1.026292545401846
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,0,318,4486,0,60+,0,-0.7510971654910896,0.8096823246881668
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,0,778,4196,0,30-39,1,2.018616164275319,-0.18329107114544546
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,2,56,4394,0,60+,0,-1.6960511010174073,1.4753387804099265
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,2,151,4420,1,50-59,4,-1.3664968833556939,-0.12947783308940636
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,1,372,4104,1,60+,3,-0.06768590043786304,-1.904485589157737
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,0,1366,4120,1,50-59,1,1.9125045248709298,1.044709707235475
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,1,194,4231,0,50-59,0,-0.16296600966017255,1.6546079120066517
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,1,32,4170,0,50-59,0,-1.7805606574201738,0.8050241384806678
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,1,43,4108,0,50-59,0,-1.5211402971181438,1.2101645762225832
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,1,45,4110,0,40-49,4,-1.8668362851334253,-0.3465110659351838
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,1,606,4656,1,60+,3,0.3502385703488137,0.1641719436638671
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,2,63,4516,0,50-59,4,-1.4536704501259192,-0.24832147817602523
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,0,978,4282,1,60+,2,2.5702294161888077,0.08145176941263602
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,0,410,4446,0,40-49,4,-0.046429038244459174,-0.5637690578151583
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,1,72,4413,0,60+,4,-1.5305735352049785,-1.5455428307043746
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,1,55,4163,0,60+,4,-1.4620428833503887,-0.026481868377966383
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,1,1169,4507,0,40-49,5,2.4347260005260836,-0.2746005414025964
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,0,1120,4480,0,60+,2,1.4865706396288556,0.45916151345697737
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66,0,1097,4124,0,60+,2,1.5952660154779985,0.4259739362385761
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46,1,29,4273,0,40-49,0,-1.893409058836224,1.80046522228545
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61,2,187,4350,0,60+,4,-0.8919460284383953,-1.2218216078320474
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,56,2,910,4584,0,50-59,5,1.3129681844628853,-0.2770021612585033
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,47,1,145,4629,0,40-49,4,-1.5836836851376248,-0.9956804633302875
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,65,0,850,4641,0,60+,2,1.3706285320347034,-0.44691500776162874
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,46,1,969,4311,0,40-49,1,2.013577704024396,-0.015939879266550976
